;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Salamon L.M.,""6603591625";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946490792&doi=10.1007%2fs11266-015-9638-3&partnerID=40&md5=ebf0eb9614bdcaf74a53188626520c35"",""Central and Eastern Europe"; China; Government-nonprofit cooperation; Nonprofit organization;" Welfare state"",""intergovernmental relations"; nonprofit organization; state role; welfare provision; Central Asia; Central Europe; China; Eastern Europe;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gorizontov L.,""56960451500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947054408&doi=10.1353%2fkri.2015.0071&partnerID=40&md5=e983e22f84136cc1550cb127a1769045"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Khachaturova M.R., Poimanova D.M.,""36968099600";56880419200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942757737&doi=10.1002%2fcrq.21131&partnerID=40&md5=ddfe2b9040650decf081398814d9b8ca"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kazun A.,""55948678700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017502047&partnerID=40&md5=419ffa5696329b38a46979df102b7ccf"",,""business cycle"; corporate strategy; law enforcement; nongovernmental organization; rationalization; reform process; violence;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Vukovic N., Williams J.N.,""55960232500";7409579897;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930621150&doi=10.1016%2fj.cognition.2015.05.017&partnerID=40&md5=965eac26a3f46999c9ec233a4cf3bf40"",""Embodied cognition"; Individual differences; Language comprehension; Perspective taking;" Spatial cognition"",""adult"; Article; classification; cognitive bias; comprehension; follow up; hand; human; human experiment; individuality; language; Latin square design; male; normal human; orientation; priority journal; response time; spatial learning; auditory stimulation; comprehension; individuality; linguistics; photostimulation; spatial behavior; Acoustic Stimulation; Adult; Comprehension; Humans; Individuality; Language; Linguistics; Male; Photic Stimulation;" Spatial Processing""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Novikova L.,""56959988000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947071379&doi=10.1353%2fkri.2015.0050&partnerID=40&md5=6a9b3a5f9644a9e5dd7a12374d480450"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Firat R.B., Boyer P.,""55440946000";7201390372;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931273539&doi=10.1016%2fj.ssresearch.2015.05.006&partnerID=40&md5=5a7a6f2fb01e6b4ef45fe82e016d5900"",""Coalitional psychology"; Ethnic diversity; Health;" Well-being"",""ancestry group"; cultural diversity; demography; ethnic group; Europe; female; friend; health; human; human relation; male; minority group; questionnaire; social network; social support; trust; Continental Population Groups; Cultural Diversity; Ethnic Groups; Europe; Female; Friends; Health; Humans; Interpersonal Relations; Male; Minority Groups; Residence Characteristics; Social Networking; Social Support; Surveys and Questionnaires;" Trust""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Iarskaia-Smirnova E., Romanov P.,""6506466504";23571229400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949235048&doi=10.4324%2f9780203111888&partnerID=40&md5=8fb72157dcf220d54c808eacdb45a126"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kozyrin A.N., Yalbulganov A.A.,""56458859100";56374482200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941025274&doi=10.1007%2fs10991-015-9169-4&partnerID=40&md5=058366d6478900571ca47a18de2bb2c2"",""Anti-dumping duty"; Anti-dumping measures; Customs union;" EurAsEC"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Isaev L.M., Korotaev A.V.,""57196708868";57196724736;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033700037&partnerID=40&md5=0d0d715a61353fd01fd4dce1b957412f"",""Al Ahmar"; Ansar Allah; Houthi; Revolution; Saleh; Yemen;" Zaidiyyah"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Avdasheva S., Kryuchkova P.,""7801623030";56133393500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949318681&doi=10.1016%2fj.irle.2014.04.003&partnerID=40&md5=512bb94ca49bab927d2af3dc4e974f3a"",""Antitrust"; Complaints; Legal errors; Public enforcement;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Muradov K.Y.,""57193563152";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033713856&partnerID=40&md5=16cd424d08cb73e0e824ea0b65ce226d"",""ASEAN"; Global value chains; Input-output tables; International trade; Russia; Statistics; Trade;" Value added"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kovács E., Lyutov N., Mitrus L.,""57131322800";56497021500;57131461700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958933851&doi=10.4337%2f9781781000137.00021&partnerID=40&md5=bea602de345971b80ae362b5bef3c450"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Koptjevskaja-Tamm M., Rakhilina E., Vanhove M.,""26035387200";26967858600;26632702700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941591547&partnerID=40&md5=cd3d3cf6f273d9cae436105d9b8c8954"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gambarato R.R., Medvedev S.A.,""56039359500";57098823200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957372635&doi=10.4018%2f978-1-4666-8502-4.ch008&partnerID=40&md5=e62f772f85a9b32a7d92035c2918a449"",,""Information and Communication Technologies"; Methodological approach; New media; Online fundraising; Political campaign; Theoretical framework;" Social sciences""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Lukyanov F.,""24481505000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964687250&doi=10.1080%2f10611940.2015.1142340&partnerID=40&md5=830506abe68d4daf6bf79225be737cfe"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Rochlitz M., Kulpina V., Remington T., Yakovlev A.,""55948177300";56922232300;7004041812;36085487700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952299974&doi=10.1080%2f15387216.2015.1089411&partnerID=40&md5=8a72b25aa451fd6627cdb91f79b38495"",""bureaucracy"; career incentives; centralization; China; decentralization; economic performance; regional officials;" Russia"",""autonomy"; centralization; comparative study; decentralization; economic growth; incentive; performance assessment; policy approach; regional economy; China;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Derkachev P.V.,""57015381100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950972746&doi=10.1080%2f10609393.2015.1096146&partnerID=40&md5=654d908c3ac8451acb479191b4100f22"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Tarasenko A.,""56785560400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939524862&doi=10.1080%2f21599165.2015.1023895&partnerID=40&md5=fa8ed95d3efb38655853c5f1da919d14"",""civil society"; interest groups; Russia;" welfare reform"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
